Nombre,Retuits,Fecha,Dia del año,Dia de la semana
Albert_Rivera,894,Fri Dec 08 19:57:51 CET 2017,342,Viernes,
Albert_Rivera,558,Fri Dec 08 16:39:55 CET 2017,342,Viernes,
Albert_Rivera,3837,Fri Dec 08 15:51:57 CET 2017,342,Viernes,
Albert_Rivera,1136,Fri Dec 08 00:14:13 CET 2017,342,Viernes,
Albert_Rivera,202,Thu Dec 07 21:36:00 CET 2017,341,Jueves,
Albert_Rivera,139,Thu Dec 07 20:18:41 CET 2017,341,Jueves,
Albert_Rivera,223,Thu Dec 07 18:10:33 CET 2017,341,Jueves,
Albert_Rivera,1129,Thu Dec 07 16:31:25 CET 2017,341,Jueves,
Albert_Rivera,233,Thu Dec 07 14:39:40 CET 2017,341,Jueves,
Albert_Rivera,642,Thu Dec 07 12:30:15 CET 2017,341,Jueves,
Albert_Rivera,81,Thu Dec 07 08:30:05 CET 2017,341,Jueves,
Albert_Rivera,498,Wed Dec 06 15:46:16 CET 2017,340,Miércoles,
Albert_Rivera,531,Wed Dec 06 12:12:18 CET 2017,340,Miércoles,
Albert_Rivera,1405,Wed Dec 06 09:38:04 CET 2017,340,Miércoles,
Albert_Rivera,276,Tue Dec 05 23:56:39 CET 2017,339,Martes,
Albert_Rivera,610,Tue Dec 05 23:27:44 CET 2017,339,Martes,
Albert_Rivera,884,Tue Dec 05 22:59:17 CET 2017,339,Martes,
Albert_Rivera,552,Tue Dec 05 21:58:52 CET 2017,339,Martes,
Albert_Rivera,1816,Tue Dec 05 21:55:53 CET 2017,339,Martes,
Albert_Rivera,475,Tue Dec 05 21:45:58 CET 2017,339,Martes,
Albert_Rivera,148,Tue Dec 05 20:49:01 CET 2017,339,Martes,
sanchezcastejon,71,Wed Dec 13 10:39:15 CET 2017,347,Miércoles,
sanchezcastejon,340,Tue Dec 12 20:44:06 CET 2017,346,Martes,
sanchezcastejon,429,Tue Dec 12 16:23:49 CET 2017,346,Martes,
sanchezcastejon,547,Tue Dec 12 13:38:52 CET 2017,346,Martes,
sanchezcastejon,448,Tue Dec 12 12:04:31 CET 2017,346,Martes,
sanchezcastejon,314,Mon Dec 11 16:29:22 CET 2017,345,Lunes,
sanchezcastejon,561,Mon Dec 11 10:51:53 CET 2017,345,Lunes,
sanchezcastejon,388,Mon Dec 11 09:17:53 CET 2017,345,Lunes,
sanchezcastejon,823,Sun Dec 10 22:29:33 CET 2017,344,Domingo,
sanchezcastejon,670,Sun Dec 10 14:45:15 CET 2017,344,Domingo,
sanchezcastejon,326,Sun Dec 10 14:39:04 CET 2017,344,Domingo,
sanchezcastejon,317,Sun Dec 10 12:58:00 CET 2017,344,Domingo,
sanchezcastejon,607,Sun Dec 10 10:41:02 CET 2017,344,Domingo,
sanchezcastejon,432,Sat Dec 09 21:09:16 CET 2017,343,Sábado,
sanchezcastejon,389,Sat Dec 09 21:03:16 CET 2017,343,Sábado,
sanchezcastejon,311,Sat Dec 09 19:44:57 CET 2017,343,Sábado,
sanchezcastejon,594,Sat Dec 09 14:07:32 CET 2017,343,Sábado,
sanchezcastejon,461,Sat Dec 09 14:04:04 CET 2017,343,Sábado,
sanchezcastejon,264,Sat Dec 09 13:59:37 CET 2017,343,Sábado,
sanchezcastejon,353,Sat Dec 09 12:55:36 CET 2017,343,Sábado,
sanchezcastejon,1032,Sat Dec 09 10:18:14 CET 2017,343,Sábado,
sanchezcastejon,507,Fri Dec 08 20:30:11 CET 2017,342,Viernes,
sanchezcastejon,617,Fri Dec 08 17:08:07 CET 2017,342,Viernes,
sanchezcastejon,610,Fri Dec 08 12:36:57 CET 2017,342,Viernes,
sanchezcastejon,805,Fri Dec 08 10:20:44 CET 2017,342,Viernes,
sanchezcastejon,536,Thu Dec 07 12:56:30 CET 2017,341,Jueves,
sanchezcastejon,430,Thu Dec 07 11:56:55 CET 2017,341,Jueves,
sanchezcastejon,752,Wed Dec 06 19:19:06 CET 2017,340,Miércoles,
sanchezcastejon,383,Wed Dec 06 16:57:07 CET 2017,340,Miércoles,
sanchezcastejon,439,Wed Dec 06 12:48:58 CET 2017,340,Miércoles,
sanchezcastejon,1141,Wed Dec 06 10:09:32 CET 2017,340,Miércoles,
sanchezcastejon,412,Tue Dec 05 18:07:27 CET 2017,339,Martes,
sanchezcastejon,484,Tue Dec 05 14:57:21 CET 2017,339,Martes,
sanchezcastejon,252,Tue Dec 05 13:13:57 CET 2017,339,Martes,
sanchezcastejon,283,Tue Dec 05 09:39:59 CET 2017,339,Martes,
sanchezcastejon,450,Tue Dec 05 09:00:54 CET 2017,339,Martes,
sanchezcastejon,1214,Mon Dec 04 20:04:45 CET 2017,338,Lunes,
sanchezcastejon,363,Mon Dec 04 17:22:17 CET 2017,338,Lunes,
sanchezcastejon,530,Mon Dec 04 15:54:45 CET 2017,338,Lunes,
sanchezcastejon,637,Mon Dec 04 14:32:41 CET 2017,338,Lunes,
sanchezcastejon,452,Mon Dec 04 13:21:08 CET 2017,338,Lunes,
sanchezcastejon,541,Mon Dec 04 13:15:50 CET 2017,338,Lunes,
sanchezcastejon,551,Mon Dec 04 12:12:45 CET 2017,338,Lunes,
sanchezcastejon,374,Mon Dec 04 11:28:45 CET 2017,338,Lunes,
sanchezcastejon,261,Mon Dec 04 10:43:27 CET 2017,338,Lunes,
sanchezcastejon,728,Sun Dec 03 20:38:35 CET 2017,337,Domingo,
sanchezcastejon,423,Sun Dec 03 14:08:04 CET 2017,337,Domingo,
sanchezcastejon,278,Sun Dec 03 09:48:46 CET 2017,337,Domingo,
sanchezcastejon,703,Sat Dec 02 19:22:12 CET 2017,336,Sábado,
sanchezcastejon,305,Sat Dec 02 18:13:00 CET 2017,336,Sábado,
sanchezcastejon,913,Sat Dec 02 15:47:34 CET 2017,336,Sábado,
sanchezcastejon,474,Sat Dec 02 14:33:53 CET 2017,336,Sábado,
sanchezcastejon,525,Sat Dec 02 11:45:03 CET 2017,336,Sábado,
sanchezcastejon,543,Fri Dec 01 20:28:11 CET 2017,335,Viernes,
sanchezcastejon,308,Fri Dec 01 20:21:38 CET 2017,335,Viernes,
sanchezcastejon,336,Fri Dec 01 20:15:19 CET 2017,335,Viernes,
sanchezcastejon,388,Fri Dec 01 18:27:47 CET 2017,335,Viernes,
sanchezcastejon,451,Fri Dec 01 18:13:14 CET 2017,335,Viernes,
sanchezcastejon,236,Fri Dec 01 13:57:04 CET 2017,335,Viernes,
sanchezcastejon,413,Fri Dec 01 12:25:04 CET 2017,335,Viernes,
sanchezcastejon,475,Fri Dec 01 12:08:16 CET 2017,335,Viernes,
sanchezcastejon,1027,Thu Nov 30 21:44:32 CET 2017,334,Jueves,
sanchezcastejon,348,Thu Nov 30 21:07:06 CET 2017,334,Jueves,
sanchezcastejon,344,Thu Nov 30 12:55:58 CET 2017,334,Jueves,
sanchezcastejon,842,Thu Nov 30 11:26:03 CET 2017,334,Jueves,
marianorajoy,57,Wed Dec 13 10:57:52 CET 2017,347,Miércoles,
marianorajoy,51,Wed Dec 13 09:37:15 CET 2017,347,Miércoles,
marianorajoy,58,Wed Dec 13 09:34:00 CET 2017,347,Miércoles,
marianorajoy,147,Wed Dec 13 09:31:07 CET 2017,347,Miércoles,
marianorajoy,94,Wed Dec 13 09:15:15 CET 2017,347,Miércoles,
marianorajoy,106,Tue Dec 12 21:10:11 CET 2017,346,Martes,
marianorajoy,94,Tue Dec 12 19:56:07 CET 2017,346,Martes,
marianorajoy,74,Tue Dec 12 19:37:40 CET 2017,346,Martes,
marianorajoy,131,Tue Dec 12 19:27:55 CET 2017,346,Martes,
marianorajoy,78,Tue Dec 12 14:22:22 CET 2017,346,Martes,
marianorajoy,172,Tue Dec 12 13:31:57 CET 2017,346,Martes,
marianorajoy,348,Mon Dec 11 21:52:22 CET 2017,345,Lunes,
marianorajoy,130,Mon Dec 11 19:53:30 CET 2017,345,Lunes,
marianorajoy,143,Mon Dec 11 12:33:57 CET 2017,345,Lunes,
marianorajoy,89,Mon Dec 11 10:41:19 CET 2017,345,Lunes,
marianorajoy,151,Mon Dec 11 10:10:09 CET 2017,345,Lunes,
marianorajoy,119,Mon Dec 11 10:02:32 CET 2017,345,Lunes,
marianorajoy,293,Mon Dec 11 09:57:46 CET 2017,345,Lunes,
marianorajoy,167,Mon Dec 11 09:52:02 CET 2017,345,Lunes,
marianorajoy,298,Mon Dec 11 09:45:23 CET 2017,345,Lunes,
marianorajoy,480,Mon Dec 11 09:41:41 CET 2017,345,Lunes,
marianorajoy,266,Mon Dec 11 09:37:12 CET 2017,345,Lunes,
marianorajoy,205,Fri Dec 08 19:31:45 CET 2017,342,Viernes,
marianorajoy,190,Fri Dec 08 18:11:14 CET 2017,342,Viernes,
marianorajoy,120,Fri Dec 08 17:04:34 CET 2017,342,Viernes,
marianorajoy,990,Fri Dec 08 15:58:11 CET 2017,342,Viernes,
marianorajoy,209,Fri Dec 08 15:17:22 CET 2017,342,Viernes,
marianorajoy,127,Fri Dec 08 15:14:12 CET 2017,342,Viernes,
marianorajoy,168,Fri Dec 08 15:11:28 CET 2017,342,Viernes,
marianorajoy,176,Fri Dec 08 15:08:43 CET 2017,342,Viernes,
